CGM_total_mean,CGM_total_variance,CGM_total_SD,CGM_MinMax,CGM_Entropy,CGM_Skewness,CGM_First_Max,CGM_First_Min,CGM_Last_Max,CGM_Last_Min,CGM_number_of_peaks,CGM_Velocity,CGM_Dist_travelled,CGM_autocorrelation,CGM_RMS
167.61290322580646,4756.778494623656,68.96940259726523,170.0,1.5570699269167845,0.11767718567446471,0.06451612903225806,0.8709677419354839,0.09677419354838712,0.9032258064516129,1.0,5.97,179.0,0.9765744142371586,167.61290322580646
306.9,1505.9566666666667,38.80665750443687,135.0,2.0644999616816366,-0.6575931958685272,0.4838709677419355,0.9354838709677419,0.5161290322580645,0.967741935483871,1.0,10.56,316.9,0.8857575140497626,306.9
195.2667741935484,3525.928889247311,59.37953257855194,151.0,1.6876901093338486,-0.01543054577636428,0.1935483870967742,0.8709677419354839,0.22580645161290325,0.967741935483871,1.0,8.84,265.27,0.9890055712532125,195.2667741935484
150.93548387096774,3244.8623655913975,56.963693398439304,142.0,1.2822250012256842,0.13844535558154994,0.03225806451612903,0.7419354838709677,0.06451612903225812,0.7741935483870968,2.0,5.33,160.0,0.9727513667594294,150.93548387096774
143.5,283.05,16.824089871371942,47.0,1.9225297004112496,-0.2175167642668835,0.45161290322580644,0.7419354838709677,0.4838709677419355,0.9032258064516129,1.0,3.35,100.5,0.9800025515711789,143.5
158.67741935483872,3261.8258064516135,57.112396259057576,139.0,1.2668400823862047,-0.16043026779363442,0.25806451612903225,0.8709677419354839,0.29032258064516125,0.967741935483871,1.0,5.57,167.0,0.9813194426588269,158.67741935483872
141.66677419354838,1154.222222580645,33.97384615525073,89.0,1.7982319837336724,-0.06870250179980837,0.2903225806451613,0.5806451612903226,0.32258064516129037,0.967741935483871,2.0,6.12,183.67,0.9729949147704564,141.66677419354838
153.7,3316.2099999999996,57.58654356705219,139.0,1.5269168887460969,0.17338918805580125,0.03225806451612903,0.7096774193548387,0.09677419354838712,0.7419354838709677,1.0,6.99,209.7,0.9774634329885954,153.7
144.4516129032258,1176.9892473118277,34.30727688569625,87.0,1.7982319837336724,-0.09756026716133526,0.0,0.8709677419354839,0.032258064516129004,0.967741935483871,0.0,3.0,90.0,0.970115232352762,144.4516129032258
153.4667741935484,519.4488892473117,22.791421395940002,66.0,2.0476928433652555,0.5009554972123013,0.41935483870967744,0.9032258064516129,0.4516129032258065,0.967741935483871,1.0,5.18,155.47,0.9561285368018043,153.4667741935484
175.33322580645162,2701.755555913979,51.97841432666044,134.0,1.4325072042750222,-0.35111830922528925,0.22580645161290322,0.7741935483870968,0.25806451612903225,0.8064516129032258,1.0,7.54,226.33,0.9947469906219547,175.33322580645162
148.6332258064516,4610.765555913979,67.90261818158397,167.0,1.4146495868750157,0.2556000828310623,0.12903225806451613,0.7096774193548387,0.19354838709677424,0.7419354838709677,1.0,8.85,265.63,0.9834991970386604,148.6332258064516
156.3667741935484,1376.9655559139783,37.10748652110485,91.0,1.3971052772241062,-0.13094747876619253,0.2903225806451613,0.8709677419354839,0.32258064516129037,0.967741935483871,2.0,5.45,163.37,0.9837844805769126,156.3667741935484
151.7667741935484,1671.912222580645,40.889023252954395,109.0,1.7725895531203348,-0.028083743260095134,0.25806451612903225,0.7741935483870968,0.29032258064516125,0.8064516129032258,1.0,7.16,214.77,0.9939611884573865,151.7667741935484
101.9332258064516,178.86222258064515,13.373938185166146,43.0,1.865371286571301,-0.3071084789665126,0.03225806451612903,0.9032258064516129,0.06451612903225812,0.967741935483871,1.0,3.03,90.93,0.9105351200408653,101.9332258064516
147.3548387096774,2190.703225806452,46.804948732013926,118.0,1.4146495868750157,0.33836424175012736,0.0967741935483871,0.7419354838709677,0.16129032258064513,0.7741935483870968,0.0,4.6,138.0,0.9845286582498676,147.3548387096774
176.3,1462.2766666666669,38.23972628911806,91.0,1.3798634707896003,-0.08687858550845327,0.2903225806451613,0.6451612903225806,0.32258064516129037,0.7096774193548387,1.0,4.88,146.3,0.9867057457587066,176.3
149.06677419354838,3957.528889247312,62.908893562415415,168.0,1.8793575285460409,-0.09561856779516409,0.7419354838709677,0.16129032258064516,0.8064516129032258,0.19354838709677424,0.0,8.9,266.93,0.9938948663410636,149.06677419354838
124.86677419354838,1682.7822225806449,41.021728663973256,109.0,1.5570699269167845,-0.05500345879451414,0.03225806451612903,0.7741935483870968,0.06451612903225812,0.8064516129032258,2.0,6.03,180.87,0.973290212150945,124.86677419354838
151.7332258064516,1396.3955559139786,37.36837641527898,109.0,2.2102117728630306,-0.03310246477269114,0.25806451612903225,0.9354838709677419,0.29032258064516125,0.967741935483871,1.0,7.79,233.73,0.9722597731491133,151.7332258064516
153.93548387096774,953.3956989247312,30.87710638846735,91.0,1.8793575285460409,0.14793860771019637,0.25806451612903225,0.8709677419354839,0.29032258064516125,0.9032258064516129,2.0,6.3,189.0,0.9642176577665799,153.93548387096774
91.33322580645161,36.555555913978495,6.046119078713096,22.0,1.8935421635379972,-0.01860837831218303,0.9354838709677419,0.7419354838709677,0.967741935483871,0.7741935483870968,1.0,2.52,75.67,0.8488281915989001,91.33322580645161
157.19354838709677,774.494623655914,27.829743506829416,83.0,2.2102117728630306,0.2887253116927146,0.1935483870967742,0.7096774193548387,0.25806451612903225,0.7419354838709677,0.0,5.53,166.0,1.0027023750023143,157.19354838709677
111.03322580645163,715.1655559139786,26.7425794551307,76.0,2.0149030205422647,-0.19845497437157547,0.1935483870967742,0.7096774193548387,0.25806451612903225,0.7419354838709677,1.0,7.0,210.03,0.9351864999025034,111.03322580645163
